plot_ID_and_subplot,habitat,subplot,depth_organic_cm,depth_total_cm,soil_wet_weight_g,soil_dry_weight_after_sieving_g,m_crucible_g,m_after_g
1,LH,2,5.0,5.0,14.24,0.0,0.0,0.0
1,LH,3,5.0,9.0,10.59,5.55,19.388,24.059
1,LH,4,4.4,4.4,15.2,0.0,0.0,0.0
1,LH,5,2.5,13.0,9.31,4.612,19.639,21.702
1,DSH,1,7.8,38.0,22.6,11.055,19.644,23.217
1,DSH,2,3.0,42.0,6.48,3.343,10.797,11.933
1,DSH,3,10.6,49.0,27.08,12.71,20.866,22.87
1,DSH,4,8.0,10.0,13.84,6.802,10.702,11.761
1,DSH,5,7.5,35.0,22.7,11.848,10.504,11.906
1,TL,1,9.1,29.5,18.56,6.415,6.235,6.712
1,TL,2,21.0,30.0,7.94,4.881,11.153,12.501
1,TL,3,10.3,41.0,41.19,27.474,6.37,8.048
1,TL,4,4.1,15.0,12.29,5.036,6.049,6.402
1,TL,5,2.9,0.0,8.34,3.625,8.285,9.257
1,BF,1,4.5,8.5,14.4,6.514,6.271,7.65
1,BF,2,4.5,31.3,12.53,6.295,7.992,11.252
1,BF,3,2.5,28.2,1.88,0.814,6.801,7.404
1,BF,4,2.7,8.0,3.54,1.648,8.22,9.504
1,BF,5,5.8,40.2,10.47,2.81,11.086,11.928
6,LH,1,4.3,9.5,4.92,1.709,10.108,10.847
6,LH,2,2.8,9.2,4.66,1.428,7.532,11.025
6,LH,3,3.7,15.0,5.09,2.116,10.273,7.908
6,LH,4,3.6,31.6,2.48,0.988,7.091,7.697
6,LH,5,1.0,24.0,4.42,2.74,9.721,12.132
6,DSH,1,3.4,26.4,5.3,1.972,11.159,44.064
6,DSH,2,8.1,29.2,9.74,3.539,20.883,45.621
6,DSH,3,3.8,19.8,3.36,1.483,8.063,8.966
6,DSH,4,6.5,26.4,5.5,1.723,10.147,10.882
6,DSH,5,4.8,32.7,12.6,5.958,20.886,25.661
6,TL,1,4.4,27.0,27.2,12.838,9.515,11.105
6,TL,2,5.1,22.0,15.4,5.678,8.86,9.683
6,TL,3,2.7,23.0,37.2,18.342,8.771,10.838
6,TL,4,4.8,16.4,9.18,2.675,10.635,11.208
6,TL,5,2.3,14.0,6.34,2.094,7.801,8.176
6,BF,1,9.0,14.0,9.03,2.943,32.571,34.149
6,BF,2,4.7,20.5,10.47,4.099,20.847,23.401
6,BF,3,4.6,17.0,3.0,1.273,32.22,32.988
6,BF,4,5.3,12.0,29.94,9.884,19.682,22.272
6,BF,5,4.2,23.2,10.66,4.659,19.643,22.896
